1,"20,056.92 sq mi","San Bernardino, CA / 2,078,586"
2,"10,180.87 sq mi","Inyo, CA / 18,439"
3,"8,131.91 sq mi","Kern, CA / 857,730"
4,"7,206.47 sq mi","Riverside, CA / 2,266,899"
5,"6,277.88 sq mi","Siskiyou, CA / 44,261"
6,"5,957.99 sq mi","Fresno, CA / 948,844"
7,"4,824.21 sq mi","Tulare, CA / 451,108"
8,"4,541.18 sq mi","Lassen, CA / 33,356"
9,"4,206.63 sq mi","San Diego, CA / 3,183,143"
10,"4,176.60 sq mi","Imperial, CA / 177,026"
11,"4,057.88 sq mi","Los Angeles, CA / 9,974,203"
12,"3,917.77 sq mi","Modoc, CA / 9,335"
13,"3,775.40 sq mi","Shasta, CA / 178,520"
14,"3,567.98 sq mi","Humboldt, CA / 134,876"
15,"3,506.34 sq mi","Mendocino, CA / 87,612"
16,"3,298.56 sq mi","San Luis Obispo, CA / 274,184"
17,"3,280.59 sq mi","Monterey, CA / 424,927"
18,"3,179.25 sq mi","Trinity, CA / 13,515"
19,"3,048.98 sq mi","Mono, CA / 14,193"
20,"2,949.71 sq mi","Tehama, CA / 63,284"
21,"2,735.08 sq mi","Santa Barbara, CA / 431,555"
22,"2,553.04 sq mi","Plumas, CA / 19,286"
23,"2,220.88 sq mi","Tuolumne, CA / 54,347"
24,"2,137.07 sq mi","Madera, CA / 152,452"
25,"1,934.97 sq mi","Merced, CA / 261,609"
26,"1,843.13 sq mi","Ventura, CA / 835,790"
27,"1,707.88 sq mi","El Dorado, CA / 181,465"
28,"1,636.46 sq mi","Butte, CA / 221,578"
29,"1,575.85 sq mi","Sonoma, CA / 491,790"
30,"1,494.83 sq mi","Stanislaus, CA / 522,794"
31,"1,448.82 sq mi","Mariposa, CA / 17,946"
32,"1,407.01 sq mi","Placer, CA / 361,518"
33,"1,391.32 sq mi","San Joaquin, CA / 701,050"
34,"1,389.42 sq mi","Kings, CA / 151,390"
35,"1,388.71 sq mi","San Benito, CA / 56,888"
36,"1,313.95 sq mi","Glenn, CA / 28,019"
37,"1,290.10 sq mi","Santa Clara, CA / 1,841,569"
38,"1,256.46 sq mi","Lake, CA / 64,209"
39,"1,150.73 sq mi","Colusa, CA / 21,424"
40,"1,020.01 sq mi","Calaveras, CA / 44,921"
41,"1,014.69 sq mi","Yolo, CA / 204,162"
42,"1,006.37 sq mi","Del Norte, CA / 28,066"
43,964.64 sq mi,"Sacramento, CA / 1,450,277"
44,957.77 sq mi,"Nevada, CA / 98,606"
45,953.21 sq mi,"Sierra, CA / 3,019"
46,821.76 sq mi,"Solano, CA / 421,624"
47,790.57 sq mi,"Orange, CA / 3,086,331"
48,748.36 sq mi,"Napa, CA / 139,253"
49,739.02 sq mi,"Alameda, CA / 1,559,308"
50,738.33 sq mi,"Alpine, CA / 1,202"
51,715.94 sq mi,"Contra Costa, CA / 1,081,232"
52,631.84 sq mi,"Yuba, CA / 73,059"
53,602.41 sq mi,"Sutter, CA / 95,067"
54,594.58 sq mi,"Amador, CA / 37,159"
55,520.31 sq mi,"Marin, CA / 256,802"
56,448.41 sq mi,"San Mateo, CA / 739,837"
57,445.17 sq mi,"Santa Cruz, CA / 267,203"
58,46.87 sq mi,"San Francisco, CA / 829,072"